resp id,timestamp,university,level of study,original field,Categorised field,self rated knowledge,received phishing,Uni/Inst. email,Personal email,Whatsapp,Facebook/IG,SMS,Telegram,Link clicked,Applicable outcome,Asked password,Device misbehave,Nothing happened,Victim (money lost),Applicable,Reported to IT,Reported to friend/family,Not reported,Reported any,https://www.ug.edu.gh/admissions/apply,https://knust.edu.gh/portal/login,http://ug-edu-gh.login-portal.xyz/student-verify,https://mtn.com.gh/momo/confirm-payment,http://knust-student-login.000webhostapp.com/verify-account,http://mtn-momo-ghana-reward.blogspot.com/free-data-claim,url1 ug apply correct,url2 knust portal correct,url3 fake ug xyz correct,url4 mtn momo correct,url5 fake knust webhost correct,url6 fake mtn blogspot correct,quiz score,https check frequency,Different password,University training,confidence level,AI tool helpful,free text url1,free text url2,free text url3
67,2026-07-14 11:58:03,UCC,PhD,Business / Social Sciences,Business / Social Sciences,Intermediate (I understand common threats),"Yes, many times",0,0,1,0,0,0,Yes,1,1,1,0,Yes,1,0,1,0,1,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,0,0,0,0,0,0,0,Always,Sometimes,No / I am not aware of any,Somewhat confident,Very helpful,,,
68,2026-07-14 11:59:16,University of Ghana (UG),Postgraduate (Msc/MPhil),Business / Social Sciences,Business / Social Sciences,Intermediate (I understand common threats),"Yes, once or twice",0,0,0,0,1,0,Yes,1,0,0,1,No,1,0,0,0,0,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,0,0,0,0,0,0,0,Sometimes,Sometimes,"Yes, through emails or notices only",Very confident,Very helpful,,,
69,2026-07-14 11:59:31,University of Ghana (UG),Postgraduate (Msc/MPhil),Natural Resource  Management,Other (Natural/Applied Sciences),Advanced (I can protect myself confidently),"Yes, many times",0,0,1,0,0,0,Yes,1,1,0,0,No,1,0,1,0,1,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Phishing,0,0,0,0,0,1,1,Always,"Yes, always","Yes, formal training sessions",Very confident,Very helpful,,,
70,2026-07-14 12:36:27,UCC,Undergraduate (Year 3-4),Computing / IT / Engineering,Computing / IT / Engineering,Basic (I have heard of it),"Yes, many times",0,0,1,0,0,0,Yes,1,1,0,0,No,1,0,1,0,1,Legitimate,Legitimate,Phishing,Legitimate,Phishing,Phishing,1,1,1,1,1,1,6,Sometimes,Sometimes,No / I am not aware of any,Somewhat confident,Very helpful,https://dvllba-gh.ink/gh  , https://forms.gle/VhHPnQgAYcg3qDx87 ,http//www.amazon.com 
71,2026-07-14 13:09:37,KNUST,Postgraduate (Msc/MPhil),Computing / IT / Engineering,Computing / IT / Engineering,Basic (I have heard of it),"Yes, many times",0,0,0,0,1,0,No,0,0,0,0,I am not sure,1,0,0,1,0,Not Sure,Legitimate,Phishing,Phishing,Phishing,Phishing,0,1,1,0,1,1,4,Always,Sometimes,"Yes, through emails or notices only",Somewhat confident,Very helpful,https://datagh.app?q=5XPW4B,wa.me/16626414367,https://ghanukt-gh.ink/GH
72,2026-07-14 13:24:34,KNUST,Postgraduate (Msc/MPhil),Business / Social Sciences,Business / Social Sciences,Intermediate (I understand common threats),"Yes, many times",0,1,0,0,0,0,Yes,1,1,0,0,No,1,0,0,0,0,Legitimate,Legitimate,Phishing,Phishing,Phishing,Phishing,1,1,1,0,1,1,5,Always,Sometimes,"Yes, through emails or notices only",Somewhat confident,Very helpful,https://earnmgjr-cofiad.xyz/GHMNBVCXZLKJGH.html?pid=r 917778183393224,,
73,2026-07-14 17:52:48,Central University,Undergraduate (Year 1-2),Health Sciences,Health Sciences,Intermediate (I understand common threats),"Yes, once or twice",0,0,0,0,1,0,No,0,0,0,0,No,1,0,0,1,0,Legitimate,Legitimate,Phishing,Phishing,Not Sure,Not Sure,1,1,1,0,0,0,3,Rarely,"Yes, always","Yes, formal training sessions",Very confident,Very helpful,,,
74,2026-07-14 18:05:21,KNUST,Undergraduate (Year 1-2),Health Sciences,Health Sciences,Intermediate (I understand common threats),"Yes, once or twice",0,0,0,0,0,0,No,0,0,0,0,Yes,1,0,1,0,1,Legitimate,Legitimate,Phishing,Not Sure,Phishing,Phishing,1,1,1,0,1,1,5,Sometimes,Sometimes,No / I am not aware of any,Somewhat confident,Very helpful,,,
75,2026-07-14 19:42:19,UCC,Undergraduate (Year 3-4),Procurement and supply chain management,Business / Social Sciences,Basic (I have heard of it),"Yes, once or twice",0,0,0,0,0,1,No,0,0,0,0,No,1,0,0,0,0,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,0,0,0,0,0,0,0,Rarely,Sometimes,"Yes, through emails or notices only",Very confident,Very helpful,,,
76,2026-07-14 21:19:16,University of Ghana (UG),Postgraduate (Msc/MPhil),Business / Social Sciences,Business / Social Sciences,Intermediate (I understand common threats),"Yes, once or twice",0,0,0,0,1,0,No,0,0,0,0,No,1,0,0,0,0,Legitimate,Legitimate,Phishing,Not Sure,Not Sure,Not Sure,1,1,1,0,0,0,3,Sometimes,"Yes, always","Yes, formal training sessions",Not very confident,Very helpful,,,
77,2026-07-14 21:25:08,UCC,Undergraduate (Year 1-2),Economics,Business / Social Sciences,None at all,"Yes, once or twice",0,0,1,0,0,0,No,0,0,0,0,No,1,0,1,0,1,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,0,0,0,0,0,0,0,Rarely,Sometimes,"Yes, formal training sessions",Very confident,Very helpful,No idea,Nothing ,Nothing 
78,2026-07-15 10:11:52,KNUST,Postgraduate (Msc/MPhil),Business / Social Sciences,Business / Social Sciences,Intermediate (I understand common threats),"Yes, many times",0,0,1,0,0,0,No,0,0,0,0,Yes,1,1,0,0,1,Not Sure,Legitimate,Phishing,Phishing,Phishing,Phishing,0,1,1,0,1,1,4,Rarely,I use a password manager,No / I am not aware of any,Somewhat confident,Somewhat helpful,,,
79,2026-07-15 10:20:39,KNUST,Postgraduate (Msc/MPhil),Computing / IT / Engineering,Computing / IT / Engineering,Advanced (I can protect myself confidently),"Yes, many times",0,1,0,0,0,0,No,0,0,0,0,No,1,0,0,1,0,Legitimate,Legitimate,Phishing,Legitimate,Phishing,Phishing,1,1,1,1,1,1,6,Always,Sometimes,"Yes, through emails or notices only",Very confident,Very helpful,,,
80,2026-07-15 10:32:18,University of Ghana (UG),Postgraduate (Msc/MPhil),Computing / IT / Engineering,Computing / IT / Engineering,Basic (I have heard of it),"Yes, many times",0,1,0,0,0,0,No,0,0,0,0,No,1,0,1,0,1,Legitimate,Legitimate,Phishing,Legitimate,Phishing,Phishing,1,1,1,1,1,1,6,Always,"Yes, always","Yes, formal training sessions",Very confident,Very helpful,,,
81,2026-07-15 14:22:11,KNUST,Postgraduate (Msc/MPhil),Computing / IT / Engineering,Computing / IT / Engineering,Advanced (I can protect myself confidently),"Yes, many times",0,1,0,0,0,0,No,0,0,0,0,No,1,1,0,0,1,Legitimate,Legitimate,Phishing,Legitimate,Phishing,Phishing,1,1,1,1,1,1,6,Always,"Yes, always","Yes, through emails or notices only",Very confident,Very helpful,,,
82,2026-07-15 14:58:12,University of Ghana (UG),Postgraduate (Msc/MPhil),Arts / Humanities,Arts / Humanities,Intermediate (I understand common threats),"Yes, once or twice",0,0,1,0,0,0,No,0,0,0,0,Yes,1,0,1,0,1,Legitimate,Legitimate,Phishing,Phishing,Phishing,Phishing,1,1,1,0,1,1,5,Rarely,Sometimes,"Yes, through emails or notices only",Somewhat confident,Very helpful,,,
83,2026-07-15 15:05:14,University of Ghana (UG),Undergraduate (Year 3-4),Computing / IT / Engineering,Computing / IT / Engineering,Intermediate (I understand common threats),"Yes, many times",0,0,1,0,0,0,No,0,0,0,0,No,1,0,0,1,0,Legitimate,Legitimate,Phishing,Phishing,Phishing,Phishing,1,1,1,0,1,1,5,Rarely,"No, I use the same password","Yes, through emails or notices only",Somewhat confident,Very helpful,,,
84,2026-07-15 15:10:38,UCC,Undergraduate (Year 3-4),Computer Science,Computing / IT / Engineering,Intermediate (I understand common threats),"Yes, many times",0,0,1,0,0,0,No,0,0,0,0,No,1,0,1,0,1,Legitimate,Legitimate,Phishing,Legitimate,Phishing,Phishing,1,1,1,1,1,1,6,Rarely,Sometimes,"Yes, through emails or notices only",Somewhat confident,Very helpful,"We contacted you yesterday, but you didn't reply. There is a high-income opportunity waiting for you. Please contact us: wa.me/18548399740",,
85,2026-07-15 15:15:08,GIMPA,Undergraduate (Year 1-2),Computing / IT / Engineering,Computing / IT / Engineering,Intermediate (I understand common threats),"Yes, many times",0,0,0,0,1,0,No,0,0,0,0,No,1,1,1,0,1,Legitimate,Legitimate,Phishing,Legitimate,Phishing,Phishing,1,1,1,1,1,1,6,Sometimes,I use a password manager,"Yes, through emails or notices only",Somewhat confident,Very helpful,"Congratulations, the job offer you applied for has been approved. Please contact us on WhatsApp to get a daily salary of 240~1200: wa.me/13347884209",,
86,2026-07-15 15:23:50,GIMPA,Postgraduate (Msc/MPhil),Computing / IT / Engineering,Computing / IT / Engineering,Intermediate (I understand common threats),"Yes, many times",0,0,0,0,1,0,No,0,0,0,0,No,1,0,1,0,1,Legitimate,Legitimate,Phishing,Legitimate,Phishing,Phishing,1,1,1,1,1,1,6,Sometimes,Sometimes,"Yes, through emails or notices only",Somewhat confident,Very helpful,We contacted you yesterday but you didn't reply. You have a job offer with a daily wage of 1000-1600 waiting for you . Please contact us: wa.me/17086221454 ,http://ojefj.gdn ,We contacted you yesterday but you didn't reply. You have a job offer with a daily wage of 1000-2500 waiting for you . Please contact us: wa.me/16626414367 
87,2026-07-15 15:26:24,University of Ghana (UG),Undergraduate (Year 3-4),Health Sciences,Health Sciences,Basic (I have heard of it),"Yes, many times",0,1,0,0,0,0,Yes,1,1,0,0,No,1,1,1,0,1,Legitimate,Legitimate,Not Sure,Legitimate,Phishing,Not Sure,1,1,0,1,1,0,4,Never,"No, I use the same password",No / I am not aware of any,Not confident at all,Very helpful,http://gcb.com.gh/login ,https://fxxba.buzz/SvtLIOJG/gh-en?1207764879925902196&s=wa&   PINCODES FOR NSS NURSES AND WIDWIVES RELEASED For Enquiries/ Genuine Assistance New WhatsApp wa.me/message/KEDEA36GEEKRF1 ,
88,2026-07-15 15:32:45,UCC,Undergraduate (Year 1-2),Business / Social Sciences,Business / Social Sciences,None at all,"Yes, many times",0,0,1,0,0,0,No,0,0,0,0,No,1,0,0,1,0,Legitimate,Legitimate,Not Sure,Legitimate,Not Sure,Phishing,1,1,0,1,0,1,4,Never,"No, I use the same password",No / I am not aware of any,Somewhat confident,Very helpful,,http://wa.me/18068489835 ,https://www.winslots.com.gh/#/activities/register/ACT-INV-207156/4 
89,2026-07-15 15:34:58,University of Ghana (UG),PhD,Computing / IT / Engineering,Computing / IT / Engineering,Intermediate (I understand common threats),"Yes, many times",0,0,1,0,0,0,No,0,0,0,0,No,1,0,1,0,1,Legitimate,Legitimate,Phishing,Legitimate,Phishing,Phishing,1,1,1,1,1,1,6,Sometimes,"Yes, always","Yes, through emails or notices only",Somewhat confident,Very helpful,https://facetime.apple.com/join#v=1&p=MX//XlLrEfGfQ6YN9EmXJg&k=beEblYWc-E8EertEC5pS80GAEfyeDkzQ2YpfWJO-XrI ,,
90,2026-07-15 16:59:28,KNUST,Postgraduate (Msc/MPhil),Computing / IT / Engineering,Computing / IT / Engineering,Intermediate (I understand common threats),"Yes, many times",0,0,1,0,0,0,No,0,0,0,0,No,1,0,1,0,1,Legitimate,Legitimate,Phishing,Legitimate,Phishing,Phishing,1,1,1,1,1,1,6,Always,"Yes, always",No / I am not aware of any,Very confident,Very helpful,"I received GHc4,300, you should try it too, it's very easy! https://fxxba.buzz/SvtLIOJG/gh-en?1207764879925902196&s=wa&",,
91,2026-07-15 17:16:37,KNUST,Postgraduate (Msc/MPhil),Computing / IT / Engineering,Computing / IT / Engineering,Advanced (I can protect myself confidently),"Yes, many times",0,0,1,0,0,0,No,0,0,0,0,No,1,0,0,0,0,Legitimate,Legitimate,Phishing,Not Sure,Phishing,Phishing,1,1,1,0,1,1,5,Sometimes,Sometimes,"Yes, formal training sessions",Somewhat confident,Very helpful,"I thought it was fake 😂 but I actually got the ₵800, try it https://lyehz.buzz/WCqNlU/gh-en?0627507907335751283&s=wa&",,
92,2026-07-15 17:28:35,KNUST,Postgraduate (Msc/MPhil),Computing / IT / Engineering,Computing / IT / Engineering,Intermediate (I understand common threats),"Yes, once or twice",0,0,1,0,0,0,No,0,0,0,0,No,1,0,0,1,0,Legitimate,Legitimate,Phishing,Phishing,Phishing,Phishing,1,1,1,0,1,1,5,Always,Sometimes,No / I am not aware of any,Somewhat confident,Somewhat helpful,,,
93,2026-07-15 17:43:33,KNUST,Postgraduate (Msc/MPhil),Computing / IT / Engineering,Computing / IT / Engineering,Advanced (I can protect myself confidently),"Yes, once or twice",0,0,1,0,0,0,No,0,0,0,0,No,1,0,0,0,0,Legitimate,Legitimate,Phishing,Legitimate,Phishing,Phishing,1,1,1,1,1,1,6,Always,"Yes, always","Yes, formal training sessions",Not very confident,Very helpful,,,
94,2026-07-15 17:44:07,KNUST,Postgraduate (Msc/MPhil),Business / Social Sciences,Business / Social Sciences,Basic (I have heard of it),"Yes, many times",0,0,1,0,0,0,Yes,1,1,0,0,Yes,1,0,0,0,0,Not Sure,Legitimate,Not Sure,Not Sure,Not Sure,Not Sure,0,1,0,0,0,0,1,Always,Sometimes,"Yes, formal training sessions",Somewhat confident,Very helpful,,,
95,2026-07-15 18:06:36,KNUST,PhD,Health Sciences,Health Sciences,Intermediate (I understand common threats),"Yes, many times",0,0,1,0,0,0,Yes,1,1,0,0,Yes,1,0,0,1,0,Not Sure,Not Sure,Not Sure,Phishing,Phishing,Phishing,0,0,0,0,1,1,2,Never,"Yes, always",No / I am not aware of any,Not confident at all,Very helpful,No ideal,No ideal,No ideal
96,2026-07-15 18:55:55,GIMPA,Undergraduate (Year 3-4),Computing / IT / Engineering,Computing / IT / Engineering,Intermediate (I understand common threats),"Yes, many times",0,0,1,0,0,0,No,0,0,0,0,No,1,1,1,0,1,Legitimate,Legitimate,Phishing,Legitimate,Phishing,Phishing,1,1,1,1,1,1,6,Sometimes,I use a password manager,"Yes, formal training sessions",Very confident,Very helpful,,,
97,2026-07-15 19:55:38,UCC,Undergraduate (Year 3-4),Health Sciences,Health Sciences,Basic (I have heard of it),"Yes, many times",0,1,0,0,0,0,Yes,1,1,1,0,No,1,0,1,0,1,Legitimate,Legitimate,Phishing,Legitimate,Not Sure,Phishing,1,1,1,1,0,1,5,Rarely,Sometimes,No / I am not aware of any,Not very confident,Very helpful,,,
98,2026-07-15 20:02:42,UCC,Undergraduate (Year 1-2),Arts / Humanities,Arts / Humanities,None at all,"Yes, many times",0,0,1,0,0,0,No,0,0,0,0,No,1,0,0,1,0,Legitimate,Legitimate,Not Sure,Legitimate,Not Sure,Phishing,1,1,0,1,0,1,4,Rarely,Sometimes,No / I am not aware of any,Not confident at all,Somewhat helpful,,,
99,2026-07-15 20:05:39,University of Ghana (UG),Undergraduate (Year 1-2),Arts / Humanities,Arts / Humanities,Basic (I have heard of it),"Yes, many times",0,0,0,1,0,0,Yes,1,1,0,0,No,1,0,0,1,0,Legitimate,Legitimate,Legitimate,Not Sure,Phishing,Not Sure,1,1,0,0,1,0,3,Never,"No, I use the same password",No / I am not aware of any,Somewhat confident,Very helpful,,,
100,2026-07-15 20:18:55,UCC,PhD,Arts / Humanities,Arts / Humanities,Basic (I have heard of it),"Yes, many times",0,1,0,0,0,0,Yes,1,1,1,0,No,1,1,1,0,1,Legitimate,Legitimate,Phishing,Legitimate,Not Sure,Phishing,1,1,1,1,0,1,5,Rarely,Sometimes,No / I am not aware of any,Somewhat confident,Somewhat helpful,,,
101,2026-07-15 20:52:08,KNUST,Postgraduate (Msc/MPhil),Computing / IT / Engineering,Computing / IT / Engineering,Intermediate (I understand common threats),"Yes, once or twice",0,1,0,0,0,0,No,0,0,0,0,No,1,0,1,0,1,Legitimate,Legitimate,Phishing,Legitimate,Phishing,Phishing,1,1,1,1,1,1,6,Always,"Yes, always","Yes, formal training sessions",Somewhat confident,Very helpful,,,
102,2026-07-15 23:19:10,KNUST,Postgraduate (Msc/MPhil),Computing / IT / Engineering,Computing / IT / Engineering,Basic (I have heard of it),"Yes, many times",0,1,0,0,0,0,Yes,1,1,0,0,No,1,0,0,1,0,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,0,0,0,0,0,0,0,Rarely,I use a password manager,No / I am not aware of any,Not confident at all,Not helpful,,,
103,2026-07-16 04:25:48,University of Ghana (UG),Postgraduate (Msc/MPhil),Health Sciences,Health Sciences,Intermediate (I understand common threats),"Yes, many times",0,0,1,0,0,0,No,0,0,0,0,I am not sure,1,0,1,0,1,Legitimate,Phishing,Not Sure,Phishing,Phishing,Phishing,1,0,0,0,1,1,3,Rarely,"Yes, always",No / I am not aware of any,Not very confident,Very helpful,,,
104,2026-07-16 06:30:25,Blue Crest College,Undergraduate (Year 3-4),Fashion Design,Arts / Humanities,Basic (I have heard of it),I am not sure,0,0,0,0,0,0,No,0,0,0,0,No,0,0,0,0,,Legitimate,Legitimate,Phishing,Phishing,Phishing,Not Sure,1,1,1,0,1,0,4,Rarely,Sometimes,No / I am not aware of any,Not confident at all,Very helpful,,,
105,2026-07-16 08:32:21,KNUST,Postgraduate (Msc/MPhil),Computing / IT / Engineering,Computing / IT / Engineering,Intermediate (I understand common threats),"Yes, many times",0,1,0,0,0,0,No,0,0,0,0,No,1,0,0,0,0,Legitimate,Legitimate,Phishing,Not Sure,Phishing,Not Sure,1,1,1,0,1,0,4,Rarely,Sometimes,No / I am not aware of any,Not very confident,Very helpful,,,
106,2026-07-16 09:46:05,University of Ghana (UG),Postgraduate (Msc/MPhil),Business / Social Sciences,Business / Social Sciences,Intermediate (I understand common threats),"Yes, many times",0,0,0,1,0,0,No,0,0,0,0,No,1,0,0,0,0,Legitimate,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,1,0,0,0,0,0,1,Sometimes,Sometimes,No / I am not aware of any,Not very confident,Very helpful,,,
107,2026-07-16 18:26:48,KNUST,PhD,Health Sciences,Health Sciences,Advanced (I can protect myself confidently),"Yes, many times",0,0,1,0,0,0,No,0,0,0,0,I am not sure,1,0,0,0,0,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,0,0,0,0,0,0,0,Sometimes,"Yes, always","Yes, through emails or notices only",Somewhat confident,Somewhat helpful,,,
108,2026-07-16 19:18:42,KNUST,Postgraduate (Msc/MPhil),Natural sciences,Other (Natural/Applied Sciences),Intermediate (I understand common threats),"Yes, many times",0,1,1,1,1,0,Yes,1,1,0,0,Yes,1,0,1,0,1,Legitimate,Legitimate,Not Sure,Not Sure,Phishing,Phishing,1,1,0,0,1,1,4,Always,"Yes, always",No / I am not aware of any,Somewhat confident,Very helpful,,,
109,2026-07-16 20:03:51,KTU,Undergraduate (Year 3-4),Food technology,Other (Natural/Applied Sciences),Intermediate (I understand common threats),"Yes, once or twice",0,0,1,0,0,0,Yes,1,1,0,0,Yes,1,0,0,1,0,Not Sure,Legitimate,Phishing,Phishing,Phishing,Phishing,0,1,1,0,1,1,4,Never,I use a password manager,No / I am not aware of any,Not very confident,Very helpful,,,
110,2026-07-16 21:24:05,KNUST,Postgraduate (Msc/MPhil),Health Sciences,Health Sciences,Basic (I have heard of it),"Yes, many times",0,0,1,1,1,0,No,0,0,0,0,No,1,0,0,1,0,Legitimate,Legitimate,Phishing,Phishing,Phishing,Phishing,1,1,1,0,1,1,5,Always,"Yes, always","Yes, through emails or notices only",Somewhat confident,Very helpful,,,
111,2026-07-17 08:39:45,University of Ghana (UG),Undergraduate (Year 3-4),Arts / Humanities,Arts / Humanities,None at all,I am not sure,0,0,0,0,0,0,Not applicable,0,0,0,0,No,0,0,0,0,,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,0,0,0,0,0,0,0,Never,"No, I use the same password",No / I am not aware of any,Not confident at all,Very helpful,,,
112,2026-07-17 09:26:59,UCC,Undergraduate (Year 3-4),Health Sciences,Health Sciences,Intermediate (I understand common threats),"Yes, many times",0,0,1,0,0,0,No,0,0,0,0,No,1,0,0,0,0,Legitimate,Legitimate,Phishing,Legitimate,Phishing,Phishing,1,1,1,1,1,1,6,Sometimes,"Yes, always",No / I am not aware of any,Not very confident,Very helpful,,,
113,2026-07-17 11:19:36,UCC,Postgraduate (Msc/MPhil),Arts / Humanities,Arts / Humanities,Intermediate (I understand common threats),"Yes, many times",0,1,1,1,1,0,Yes,1,1,1,0,Yes,1,0,0,1,0,Legitimate,Legitimate,Not Sure,Phishing,Phishing,Not Sure,1,1,0,0,1,0,3,Sometimes,Sometimes,No / I am not aware of any,Very confident,Very helpful,,,
114,2026-07-17 12:33:43,KNUST,Undergraduate (Year 3-4),Business / Social Sciences,Business / Social Sciences,Intermediate (I understand common threats),"Yes, many times",0,0,1,0,1,0,No,0,0,0,0,No,1,0,1,0,1,Legitimate,Legitimate,Phishing,Legitimate,Phishing,Phishing,1,1,1,1,1,1,6,Never,"Yes, always",No / I am not aware of any,Somewhat confident,Very helpful,,,
115,2026-07-17 13:13:34,UDS,Undergraduate (Year 3-4),Education,Business / Social Sciences,Basic (I have heard of it),"Yes, many times",0,1,1,0,0,0,Yes,1,1,0,0,No,1,0,0,1,0,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,0,0,0,0,0,0,0,Never,"No, I use the same password",No / I am not aware of any,Not very confident,Very helpful,,,
116,2026-07-17 17:59:26,University of Ghana (UG),Postgraduate (Msc/MPhil),Business / Social Sciences,Business / Social Sciences,Basic (I have heard of it),"Yes, once or twice",0,0,1,0,0,0,No,0,0,0,0,No,1,0,0,0,0,Legitimate,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,1,0,0,0,0,0,1,Always,Sometimes,No / I am not aware of any,Somewhat confident,Very helpful,,,
117,2026-07-17 18:06:51,University of Ghana (UG),Undergraduate (Year 3-4),Health Sciences,Health Sciences,Basic (I have heard of it),"Yes, once or twice",0,0,1,0,1,0,No,0,0,0,0,No,1,0,0,1,0,Legitimate,Legitimate,Phishing,Legitimate,Phishing,Phishing,1,1,1,1,1,1,6,Always,I use a password manager,No / I am not aware of any,Somewhat confident,Very helpful,,,
118,2026-07-17 18:43:38,Garden City University,Undergraduate (Year 1-2),Health Sciences,Health Sciences,Intermediate (I understand common threats),"Yes, many times",0,0,1,0,1,1,No,0,0,0,0,No,1,0,0,0,0,Phishing,Legitimate,Phishing,Legitimate,Phishing,Phishing,0,1,1,1,1,1,5,Sometimes,"No, I use the same password","Yes, through emails or notices only",Somewhat confident,Very helpful,,,
119,2026-07-17 21:28:54,University of Ghana (UG),Postgraduate (Msc/MPhil),Health Sciences,Health Sciences,Basic (I have heard of it),"Yes, once or twice",0,0,0,0,1,0,No,0,0,0,0,No,1,0,1,1,1,Legitimate,Phishing,Phishing,Phishing,Phishing,Phishing,1,0,1,0,1,1,4,Always,"Yes, always",No / I am not aware of any,Somewhat confident,Very helpful,,,
120,2026-07-18 10:15:32,KNUST,Postgraduate (Msc/MPhil),Biosciences,Other (Natural/Applied Sciences),Intermediate (I understand common threats),"Yes, once or twice",0,1,0,0,0,0,Yes,1,1,0,0,No,1,0,0,1,0,Legitimate,Legitimate,Phishing,Legitimate,Legitimate,Legitimate,1,1,1,1,0,0,4,Sometimes,Sometimes,No / I am not aware of any,Somewhat confident,Very helpful,,,
121,2026-07-18 16:18:39,ATU,Undergraduate (Year 3-4),Computing / IT / Engineering,Computing / IT / Engineering,Basic (I have heard of it),"No, never",0,0,0,0,0,0,Not applicable,0,0,0,0,No,0,0,0,0,,Legitimate,Legitimate,Phishing,Legitimate,Phishing,Phishing,1,1,1,1,1,1,6,Always,"Yes, always",No / I am not aware of any,Somewhat confident,Very helpful,,,
122,2026-07-18 16:42:55,KNUST,Postgraduate (Msc/MPhil),Biosciences,Other (Natural/Applied Sciences),Intermediate (I understand common threats),"Yes, once or twice",0,1,0,0,0,0,Yes,1,1,0,0,No,1,0,0,1,0,Legitimate,Legitimate,Phishing,Legitimate,Phishing,Phishing,1,1,1,1,1,1,6,Rarely,Sometimes,No / I am not aware of any,Not very confident,Very helpful,,,
123,2026-07-20 00:54:39,GIMPA,Undergraduate (Year 3-4),Computing / IT / Engineering,Computing / IT / Engineering,Intermediate (I understand common threats),"Yes, many times",0,1,1,0,1,0,Yes,1,1,0,0,No,1,0,1,0,1,Legitimate,Legitimate,Phishing,Legitimate,Phishing,Phishing,1,1,1,1,1,1,6,Sometimes,I use a password manager,No / I am not aware of any,Somewhat confident,Very helpful,,,
124,2026-07-20 00:58:20,University of Ghana (UG),Undergraduate (Year 3-4),Arts / Humanities,Arts / Humanities,Basic (I have heard of it),"Yes, many times",0,1,1,0,1,0,Yes,1,1,0,0,No,1,0,1,0,1,Legitimate,Legitimate,Not Sure,Legitimate,Not Sure,Phishing,1,1,0,1,0,1,4,Rarely,"No, I use the same password",No / I am not aware of any,Not very confident,Somewhat helpful,,,
125,2026-07-20 01:00:41,UCC,Undergraduate (Year 1-2),Business / Social Sciences,Business / Social Sciences,None at all,"Yes, many times",0,1,1,1,1,1,Yes,1,1,1,0,No,1,0,1,0,1,Legitimate,Legitimate,Not Sure,Legitimate,Not Sure,Phishing,1,1,0,1,0,1,4,Never,"No, I use the same password",No / I am not aware of any,Not confident at all,Very helpful,,,
126,2026-07-20 01:03:54,University of Ghana (UG),Postgraduate (Msc/MPhil),Computing / IT / Engineering,Computing / IT / Engineering,Advanced (I can protect myself confidently),"Yes, many times",1,1,1,1,1,1,No,0,0,0,0,No,1,1,1,0,1,Legitimate,Legitimate,Phishing,Legitimate,Phishing,Phishing,1,1,1,1,1,1,6,Always,I use a password manager,"Yes, formal training sessions",Very confident,Very helpful,,,
127,2026-07-20 01:18:06,UCC,Undergraduate (Year 1-2),Arts / Humanities,Arts / Humanities,Basic (I have heard of it),"Yes, many times",0,1,1,1,1,0,No,0,0,0,0,No,1,0,1,0,1,Legitimate,Legitimate,Phishing,Legitimate,Phishing,Phishing,1,1,1,1,1,1,6,Rarely,Sometimes,No / I am not aware of any,Somewhat confident,Very helpful,,,
128,2026-07-20 01:19:04,GIMPA,Undergraduate (Year 1-2),Computing / IT / Engineering,Computing / IT / Engineering,Intermediate (I understand common threats),"Yes, many times",0,1,1,0,1,0,No,0,0,0,0,No,1,0,0,1,0,Legitimate,Legitimate,Phishing,Legitimate,Phishing,Phishing,1,1,1,1,1,1,6,Sometimes,Sometimes,"Yes, formal training sessions",Very confident,Very helpful,,,
129,2026-07-20 02:31:42,Ashesi,Undergraduate (Year 1-2),Computing / IT / Engineering,Computing / IT / Engineering,Intermediate (I understand common threats),"Yes, many times",0,1,1,1,0,0,No,0,0,0,0,No,1,0,1,0,1,Legitimate,Legitimate,Phishing,Legitimate,Phishing,Phishing,1,1,1,1,1,1,6,Always,"Yes, always","Yes, formal training sessions",Somewhat confident,Very helpful,,,
130,2026-07-20 02:32:20,Accra Technical University,Undergraduate (Year 3-4),Business / Social Sciences,Business / Social Sciences,Basic (I have heard of it),"Yes, many times",0,1,1,1,1,0,Yes,1,1,0,0,No,1,0,1,0,1,Legitimate,Legitimate,Phishing,Legitimate,Phishing,Phishing,1,1,1,1,1,1,6,Sometimes,Sometimes,No / I am not aware of any,Somewhat confident,Very helpful,,,
131,2026-07-20 02:54:05,KNUST,Postgraduate (Msc/MPhil),Computing / IT / Engineering,Computing / IT / Engineering,Advanced (I can protect myself confidently),"Yes, many times",0,1,1,1,1,1,No,0,0,0,0,No,1,0,1,0,1,Legitimate,Legitimate,Phishing,Legitimate,Phishing,Phishing,1,1,1,1,1,1,6,Always,I use a password manager,"Yes, formal training sessions",Somewhat confident,Very helpful,,,
